problem,instance,status,cost,vehicles
CVRP,0,ok,23.3680953015,16
CVRP,1,ok,22.2874562344,15
CVRP,2,ok,28.9815950252,16
CVRP,3,ok,34.9813273380,16
CVRP,4,ok,21.7893194988,15
CVRP,5,ok,27.7216291748,15
CVRP,6,ok,21.9517358155,15
CVRP,7,ok,23.8150739836,16
CVRP,8,ok,21.9601258770,14
CVRP,9,ok,25.7870943169,18
CVRP,10,ok,24.1125917563,16
CVRP,11,ok,29.3892988959,14
CVRP,12,ok,26.9908715909,15
CVRP,13,ok,29.5126793754,16
CVRP,14,ok,23.0364746151,16
CVRP,15,ok,23.6254827922,15
CVRP,16,ok,29.3251659570,16
CVRP,17,ok,26.9836344100,16
CVRP,18,ok,23.5179157107,16
CVRP,19,ok,25.0926297199,17
CVRP,20,ok,25.1198707301,15
CVRP,21,ok,25.5362842187,17
CVRP,22,ok,27.5328496696,16
CVRP,23,ok,27.9600239396,15
CVRP,24,ok,30.6584338289,17
CVRP,25,ok,22.8959772543,15
CVRP,26,ok,22.5251880441,17
CVRP,27,ok,24.3257774161,15
CVRP,28,ok,21.9282728733,18
CVRP,29,ok,28.7891765530,16
CVRP,30,ok,21.9659289203,16
CVRP,31,ok,26.2794875691,16
CVRP,32,ok,27.6685890731,15
CVRP,33,ok,21.1213274553,16
CVRP,34,ok,27.1919960658,16
CVRP,35,ok,25.9064262217,16
CVRP,36,ok,28.1276306023,16
CVRP,37,ok,24.9411591431,16
CVRP,38,ok,25.4433694898,16
CVRP,39,ok,24.4664973127,17
CVRP,40,ok,22.4772412151,15
CVRP,41,ok,24.2102141091,15
CVRP,42,ok,27.6199320519,17
CVRP,43,ok,30.1351311489,16
CVRP,44,ok,23.7364464440,17
CVRP,45,ok,25.5448360655,16
CVRP,46,ok,28.1398083203,17
CVRP,47,ok,25.6832155784,16
CVRP,48,ok,28.1097337148,15
CVRP,49,ok,26.5710280804,16
CVRP,50,ok,26.5573403850,15
CVRP,51,ok,26.5791980667,15
CVRP,52,ok,30.2079340980,16
CVRP,53,ok,24.1953914123,16
CVRP,54,ok,23.7312344582,15
CVRP,55,ok,28.1102201695,16
CVRP,56,ok,24.0652585368,16
CVRP,57,ok,24.3793651446,15
CVRP,58,ok,28.7606283851,16
CVRP,59,ok,25.3634410902,16
CVRP,60,ok,23.3842092675,17
CVRP,61,ok,31.5092065894,16
CVRP,62,ok,30.6837196688,16
CVRP,63,ok,27.3227329344,16
CVRP,64,ok,29.2767899953,15
CVRP,65,ok,25.9860468384,15
CVRP,66,ok,24.5448200734,16
CVRP,67,ok,23.7385810558,16
CVRP,68,ok,27.0332761270,17
CVRP,69,ok,22.5015050762,15
CVRP,70,ok,22.0858326897,17
CVRP,71,ok,28.9221892801,17
CVRP,72,ok,26.8282933318,16
CVRP,73,ok,24.0117274941,18
CVRP,74,ok,25.0432097237,15
CVRP,75,ok,22.2930195770,16
CVRP,76,ok,22.9282120260,18
CVRP,77,ok,21.4711928121,16
CVRP,78,ok,29.6948026574,15
CVRP,79,ok,25.9925626651,16
CVRP,80,ok,23.8117753012,15
CVRP,81,ok,23.8813419970,16
CVRP,82,ok,30.1974522064,16
CVRP,83,ok,22.5886169612,16
CVRP,84,ok,25.4532018691,18
CVRP,85,ok,27.3946591438,16
CVRP,86,ok,27.2353483127,17
CVRP,87,ok,21.9823458816,18
CVRP,88,ok,28.3863464708,17
CVRP,89,ok,31.9214300635,16
CVRP,90,ok,27.0874246092,17
CVRP,91,ok,23.3184222643,16
CVRP,92,ok,23.8037884195,16
CVRP,93,ok,25.3379811005,17
CVRP,94,ok,27.2355345160,15
CVRP,95,ok,21.5303630578,16
CVRP,96,ok,27.8198222925,15
CVRP,97,ok,23.0547454009,17
CVRP,98,ok,26.6517567576,16
CVRP,99,ok,22.3191218036,15
CVRP,100,ok,27.5197605098,15
CVRP,101,ok,22.1556033058,16
CVRP,102,ok,27.3655784593,16
CVRP,103,ok,29.1814694705,16
CVRP,104,ok,26.4377534587,15
CVRP,105,ok,23.2405361553,16
CVRP,106,ok,27.6674809520,16
CVRP,107,ok,22.5160143687,17
CVRP,108,ok,23.6237289962,16
CVRP,109,ok,25.6236769311,17
CVRP,110,ok,27.9501892900,16
CVRP,111,ok,22.5420638173,16
CVRP,112,ok,27.2271522905,15
CVRP,113,ok,20.8435352424,16
CVRP,114,ok,27.3823340909,16
CVRP,115,ok,20.8430401833,16
CVRP,116,ok,26.9002502204,15
CVRP,117,ok,27.1256700972,17
CVRP,118,ok,22.3174712615,18
CVRP,119,ok,25.5044185729,16
CVRP,120,ok,26.4798484767,16
CVRP,121,ok,26.2923147541,15
CVRP,122,ok,30.5994332919,17
CVRP,123,ok,32.4710628094,16
CVRP,124,ok,24.8939377256,17
CVRP,125,ok,22.0305068336,16
CVRP,126,ok,23.0940978932,18
CVRP,127,ok,26.6437769081,15
CVRP,128,ok,22.3579854718,17
CVRP,129,ok,24.5913416192,16
CVRP,130,ok,20.8625875908,16
CVRP,131,ok,22.3288862995,16
CVRP,132,ok,28.4133610797,15
CVRP,133,ok,23.0836445437,16
CVRP,134,ok,24.7009137547,15
CVRP,135,ok,25.2498023595,17
CVRP,136,ok,29.5422046168,15
CVRP,137,ok,21.2605550658,15
CVRP,138,ok,21.8902447789,16
CVRP,139,ok,22.5974468439,16
CVRP,140,ok,24.6374950844,17
CVRP,141,ok,27.2560251095,16
CVRP,142,ok,26.0960659545,15
CVRP,143,ok,26.0021217662,16
CVRP,144,ok,28.3061718456,16
CVRP,145,ok,22.5851937373,16
CVRP,146,ok,26.3365101596,15
CVRP,147,ok,21.4348506710,17
CVRP,148,ok,21.4595154394,15
CVRP,149,ok,28.5369254932,16
CVRP,150,ok,22.2035337175,15
CVRP,151,ok,25.5727748194,16
CVRP,152,ok,24.9738505654,16
CVRP,153,ok,28.5648888393,16
CVRP,154,ok,29.8189547738,15
CVRP,155,ok,24.8123439788,15
CVRP,156,ok,29.2993514230,15
CVRP,157,ok,20.7633522035,15
CVRP,158,ok,24.4993481356,16
CVRP,159,ok,25.6309774828,17
CVRP,160,ok,28.4937166589,16
CVRP,161,ok,25.1481790465,15
CVRP,162,ok,24.9450557771,16
CVRP,163,ok,26.9818108373,16
CVRP,164,ok,28.2516022874,16
CVRP,165,ok,26.6572917908,17
CVRP,166,ok,30.6199129975,15
CVRP,167,ok,30.7110447497,16
CVRP,168,ok,25.3124247010,16
CVRP,169,ok,27.5276563940,15
CVRP,170,ok,21.1843000448,17
CVRP,171,ok,26.9126253952,16
CVRP,172,ok,27.1370852812,16
CVRP,173,ok,21.0439410201,16
CVRP,174,ok,23.2305949021,16
CVRP,175,ok,25.6630069071,16
CVRP,176,ok,27.9090428214,17
CVRP,177,ok,28.7958573924,16
CVRP,178,ok,22.6989722526,17
CVRP,179,ok,29.3620421644,17
CVRP,180,ok,26.2825148979,15
CVRP,181,ok,24.2775682699,16
CVRP,182,ok,24.5771290252,15
CVRP,183,ok,26.6011093546,16
CVRP,184,ok,23.7740875483,15
CVRP,185,ok,25.9177798337,16
CVRP,186,ok,25.0172210140,16
CVRP,187,ok,21.3239801258,16
CVRP,188,ok,27.9798272779,16
CVRP,189,ok,26.3098196456,16
CVRP,190,ok,28.2369009495,14
CVRP,191,ok,30.2193488940,17
CVRP,192,ok,28.8881710595,17
CVRP,193,ok,26.0654737039,16
CVRP,194,ok,22.4353196399,17
CVRP,195,ok,25.0946326656,16
CVRP,196,ok,24.9066709480,17
CVRP,197,ok,25.5409405550,15
CVRP,198,ok,24.9635320553,17
CVRP,199,ok,28.6877969832,16
CVRP,200,ok,25.8042447804,16
CVRP,201,ok,28.2236411983,17
CVRP,202,ok,22.5502616342,17
CVRP,203,ok,27.4338971788,16
CVRP,204,ok,30.2424976315,16
CVRP,205,ok,28.6153968053,16
CVRP,206,ok,26.2314749588,15
CVRP,207,ok,30.2932814541,16
CVRP,208,ok,24.6092332522,16
CVRP,209,ok,31.3136748389,15
CVRP,210,ok,21.6944421997,15
CVRP,211,ok,22.1296803668,16
CVRP,212,ok,21.7255645700,15
