problem_size,problem,instance,status,no_aug_cost,cost
200,CVRP,0,ok,20.8330783844,20.7189407349
200,CVRP,1,ok,20.6738471985,20.3483619690
200,CVRP,2,ok,27.1589012146,26.6295070648
200,CVRP,3,ok,32.1796875000,32.0811080933
200,CVRP,4,ok,20.0488681793,19.9523544312
200,CVRP,5,ok,25.2789344788,25.1567382812
200,CVRP,6,ok,19.9637680054,19.8399124146
200,CVRP,7,ok,21.6991920471,21.6991920471
200,CVRP,8,ok,19.5891685486,19.5891685486
200,CVRP,9,ok,23.5543670654,23.4613265991
200,CVRP,10,ok,22.2402877808,21.7467460632
200,CVRP,11,ok,27.4062862396,26.7367687225
200,CVRP,12,ok,24.9485511780,24.4487152100
200,CVRP,13,ok,26.5569248199,26.5569248199
200,CVRP,14,ok,21.2911682129,20.9578247070
200,CVRP,15,ok,21.8275928497,21.2993736267
200,CVRP,16,ok,26.3321800232,26.1933364868
200,CVRP,17,ok,24.6376152039,24.4270629883
200,CVRP,18,ok,21.1834163666,21.1834163666
200,CVRP,19,ok,23.1419925690,22.7937011719
200,CVRP,20,ok,23.7611904144,23.2442951202
200,CVRP,21,ok,23.3173828125,22.7971382141
200,CVRP,22,ok,25.3657188416,25.3657188416
200,CVRP,23,ok,25.6432037354,25.4017791748
200,CVRP,24,ok,28.6027832031,28.2995948792
200,CVRP,25,ok,20.9857978821,20.4441871643
200,CVRP,26,ok,20.7009162903,20.6977767944
200,CVRP,27,ok,22.5877075195,21.9363975525
200,CVRP,28,ok,19.8568325043,19.8283004761
200,CVRP,29,ok,26.8465309143,25.9209194183
200,CVRP,30,ok,20.3195819855,19.9964885712
200,CVRP,31,ok,24.4994125366,23.8930854797
200,CVRP,32,ok,25.1360054016,24.9054985046
200,CVRP,33,ok,19.5058498383,19.1710357666
200,CVRP,34,ok,24.5403480530,24.3279838562
200,CVRP,35,ok,24.2936916351,23.6813735962
200,CVRP,36,ok,25.3313159943,25.1141548157
200,CVRP,37,ok,22.6798095703,22.3600883484
200,CVRP,38,ok,22.8776855469,22.8776855469
200,CVRP,39,ok,22.5331535339,22.2348823547
200,CVRP,40,ok,20.4860820770,20.4860820770
200,CVRP,41,ok,22.3876304626,22.3876304626
200,CVRP,42,ok,25.5858478546,24.9807090759
200,CVRP,43,ok,27.5586280823,27.4115180969
200,CVRP,44,ok,21.7600307465,21.4375915527
200,CVRP,45,ok,23.5223426819,23.2882728577
200,CVRP,46,ok,25.8540840149,25.3814315796
200,CVRP,47,ok,23.5479907990,23.2724151611
200,CVRP,48,ok,25.6865253448,24.7646217346
200,CVRP,49,ok,24.5994014740,24.0840911865
200,CVRP,50,ok,24.0324859619,23.7421379089
200,CVRP,51,ok,24.4582939148,24.3062629700
200,CVRP,52,ok,27.7340812683,27.3534698486
200,CVRP,53,ok,21.9452247620,21.6107463837
200,CVRP,54,ok,21.5886783600,21.3130531311
200,CVRP,55,ok,25.9160881042,25.4567184448
200,CVRP,56,ok,22.0948715210,21.5451602936
200,CVRP,57,ok,22.6679267883,22.2027435303
200,CVRP,58,ok,25.5612182617,25.5612182617
200,CVRP,59,ok,23.0075531006,22.8302078247
200,CVRP,60,ok,20.9553947449,20.9553947449
200,CVRP,61,ok,28.7178039551,28.6062088013
200,CVRP,62,ok,28.6413784027,27.5327777863
200,CVRP,63,ok,25.3264636993,25.2221641541
200,CVRP,64,ok,26.6292648315,26.4497337341
200,CVRP,65,ok,23.8700332642,23.2539672852
200,CVRP,66,ok,22.1626815796,22.1626815796
200,CVRP,67,ok,22.0472164154,21.5693855286
200,CVRP,68,ok,25.0992584229,24.7218856812
200,CVRP,69,ok,20.3400077820,19.9220199585
200,CVRP,70,ok,19.5535507202,19.4650764465
200,CVRP,71,ok,26.1475334167,25.8849315643
200,CVRP,72,ok,24.6407527924,24.3082160950
200,CVRP,73,ok,22.1316680908,21.9513320923
200,CVRP,74,ok,22.4817886353,22.4817886353
200,CVRP,75,ok,20.4270248413,20.3730659485
200,CVRP,76,ok,21.2422637939,20.9415416718
200,CVRP,77,ok,19.5658149719,19.3383712769
200,CVRP,78,ok,27.2094192505,26.9835033417
200,CVRP,79,ok,22.8840675354,22.8840675354
200,CVRP,80,ok,21.9606094360,21.7742042542
200,CVRP,81,ok,21.6090812683,21.4128150940
200,CVRP,82,ok,27.7285728455,27.7285728455
200,CVRP,83,ok,20.7586059570,20.6583919525
200,CVRP,84,ok,23.2302360535,22.8349990845
200,CVRP,85,ok,24.5843696594,24.5603408813
200,CVRP,86,ok,24.9777679443,24.5293674469
200,CVRP,87,ok,20.0071601868,19.9134006500
200,CVRP,88,ok,26.4718608856,25.7630214691
