problem,instance,status,cost,vehicles
CVRP,0,ok,22.0426431135,17
CVRP,1,ok,21.3158714300,15
CVRP,2,ok,27.7715613424,16
CVRP,3,ok,33.5034407851,16
CVRP,4,ok,20.7757363070,15
CVRP,5,ok,26.7944465492,16
CVRP,6,ok,21.0296211786,15
CVRP,7,ok,22.3063164814,15
CVRP,8,ok,20.6876054554,14
CVRP,9,ok,24.6376288610,16
CVRP,10,ok,22.9664433214,15
CVRP,11,ok,28.3057106507,15
CVRP,12,ok,25.7870924243,15
CVRP,13,ok,28.1681910563,17
CVRP,14,ok,22.1995472318,16
CVRP,15,ok,22.6619374317,16
CVRP,16,ok,28.3330777719,16
CVRP,17,ok,25.8505244484,16
CVRP,18,ok,22.5437366331,14
CVRP,19,ok,23.9650933344,18
CVRP,20,ok,24.5876564553,15
CVRP,21,ok,24.2616086774,17
CVRP,22,ok,26.7371395879,16
CVRP,23,ok,27.0235151190,16
CVRP,24,ok,29.4490756469,16
CVRP,25,ok,21.8599804361,16
CVRP,26,ok,21.6999558634,17
CVRP,27,ok,23.1436370749,15
CVRP,28,ok,20.4859401445,16
CVRP,29,ok,27.6319384164,16
CVRP,30,ok,21.3041833988,16
CVRP,31,ok,25.0120164315,17
CVRP,32,ok,26.3809604710,15
CVRP,33,ok,20.2811131610,16
CVRP,34,ok,25.9597414928,16
CVRP,35,ok,25.0192195632,16
CVRP,36,ok,26.5543265052,16
CVRP,37,ok,24.0252379344,16
CVRP,38,ok,24.3956234920,15
CVRP,39,ok,23.4607149492,16
CVRP,40,ok,21.5950565358,17
CVRP,41,ok,23.5917679450,15
CVRP,42,ok,26.4527720620,16
CVRP,43,ok,29.1061794786,16
CVRP,44,ok,22.6323200450,17
CVRP,45,ok,24.3993069052,16
CVRP,46,ok,26.9516663649,16
CVRP,47,ok,24.4542455150,16
CVRP,48,ok,27.0355469948,16
CVRP,49,ok,25.4642783027,16
CVRP,50,ok,25.2518143082,15
CVRP,51,ok,25.8017390154,15
CVRP,52,ok,29.1469389314,16
CVRP,53,ok,22.9976297471,16
CVRP,54,ok,22.4250616511,15
CVRP,55,ok,26.9660008352,16
CVRP,56,ok,23.0866899669,15
CVRP,57,ok,23.2309809705,17
CVRP,58,ok,27.3740528017,16
CVRP,59,ok,23.7598100418,16
CVRP,60,ok,22.2094961394,17
CVRP,61,ok,30.0149860252,15
CVRP,62,ok,29.1021488640,15
CVRP,63,ok,26.8666265489,16
CVRP,64,ok,28.1645794593,16
CVRP,65,ok,24.7673414325,15
CVRP,66,ok,22.7475943860,15
CVRP,67,ok,22.5927954487,15
CVRP,68,ok,26.0651503931,16
CVRP,69,ok,20.8419672715,15
CVRP,70,ok,20.7247240453,16
CVRP,71,ok,27.9612846251,17
CVRP,72,ok,25.5528705338,15
CVRP,73,ok,22.9590963943,16
CVRP,74,ok,23.4945202441,16
CVRP,75,ok,21.1578154538,17
CVRP,76,ok,22.0041065529,16
CVRP,77,ok,20.4094473002,16
CVRP,78,ok,28.4490201748,15
CVRP,79,ok,24.6890125292,16
CVRP,80,ok,23.0986502196,15
CVRP,81,ok,22.5522360383,16
CVRP,82,ok,29.4456515158,16
CVRP,83,ok,21.4137363298,16
CVRP,84,ok,23.8350531394,16
CVRP,85,ok,25.9931783036,16
CVRP,86,ok,26.0229070382,16
CVRP,87,ok,20.9220772760,17
CVRP,88,ok,27.4965929827,16
CVRP,89,ok,30.7127571635,16
CVRP,90,ok,26.2111661315,17
CVRP,91,ok,22.4909752509,16
CVRP,92,ok,22.6365220758,16
CVRP,93,ok,24.4978107306,16
CVRP,94,ok,26.1656288262,16
CVRP,95,ok,20.8217326934,16
CVRP,96,ok,26.7781273787,14
CVRP,97,ok,21.3893006614,17
CVRP,98,ok,25.6392433247,17
CVRP,99,ok,20.7464865807,15
CVRP,100,ok,26.2855245968,16
CVRP,101,ok,20.9829879968,16
CVRP,102,ok,26.1485160420,16
CVRP,103,ok,27.8693029491,15
CVRP,104,ok,25.4834060925,15
CVRP,105,ok,21.8613494420,16
CVRP,106,ok,26.3188193936,16
CVRP,107,ok,21.3740048727,15
CVRP,108,ok,22.6765781019,15
CVRP,109,ok,24.2786822102,16
CVRP,110,ok,27.0459421595,17
CVRP,111,ok,21.5827899976,16
CVRP,112,ok,25.8323411945,16
CVRP,113,ok,20.2406488188,16
CVRP,114,ok,25.7064460461,15
CVRP,115,ok,20.1373172693,16
CVRP,116,ok,25.8245194115,15
CVRP,117,ok,26.0802812935,16
CVRP,118,ok,21.4156242073,16
CVRP,119,ok,24.1729923861,16
CVRP,120,ok,24.7404644852,17
CVRP,121,ok,24.9382506060,15
CVRP,122,ok,28.9378846567,16
CVRP,123,ok,31.0065979326,16
CVRP,124,ok,23.6033119949,16
CVRP,125,ok,21.0107002649,17
CVRP,126,ok,21.8860321227,17
CVRP,127,ok,25.8651378936,16
CVRP,128,ok,21.7167323511,16
CVRP,129,ok,22.9897000963,15
CVRP,130,ok,20.1668453071,16
CVRP,131,ok,21.6604060906,17
CVRP,132,ok,26.9485208297,15
CVRP,133,ok,21.9654704032,16
CVRP,134,ok,23.5263308530,16
CVRP,135,ok,23.8777115386,16
CVRP,136,ok,28.4564104660,16
CVRP,137,ok,20.3513743285,16
CVRP,138,ok,20.7238668490,15
CVRP,139,ok,21.5348743313,17
CVRP,140,ok,23.9471472466,16
CVRP,141,ok,25.5139543287,16
CVRP,142,ok,24.9707403324,15
CVRP,143,ok,25.1214374534,15
CVRP,144,ok,27.3495136557,16
