problem_size,problem,instance,status,no_aug_cost,cost
200,CVRP,0,ok,20.6019134521,20.2292995453
200,CVRP,1,ok,19.9277763367,19.9277763367
200,CVRP,2,ok,26.2709293365,26.0479125977
200,CVRP,3,ok,31.8218822479,31.5275993347
200,CVRP,4,ok,19.6823196411,19.3520698547
200,CVRP,5,ok,25.0282669067,24.8592300415
200,CVRP,6,ok,19.8169517517,19.4502010345
200,CVRP,7,ok,21.6899795532,21.2175903320
200,CVRP,8,ok,19.3461608887,19.0596256256
200,CVRP,9,ok,23.4197444916,22.8897628784
200,CVRP,10,ok,21.7684726715,21.4779415131
200,CVRP,11,ok,26.6217842102,26.0963325500
200,CVRP,12,ok,24.2447967529,23.8937892914
200,CVRP,13,ok,26.5296974182,26.2778339386
200,CVRP,14,ok,20.6650791168,20.3333511353
200,CVRP,15,ok,21.3193435669,21.0435543060
200,CVRP,16,ok,26.2467708588,25.6925163269
200,CVRP,17,ok,24.2912998199,24.2271041870
200,CVRP,18,ok,20.7541999817,20.7541999817
200,CVRP,19,ok,22.3730506897,22.1671371460
200,CVRP,20,ok,22.8192901611,22.7672233582
200,CVRP,21,ok,22.9237060547,22.6295852661
200,CVRP,22,ok,24.8393020630,24.5283126831
200,CVRP,23,ok,25.1863746643,25.1085586548
200,CVRP,24,ok,27.9711914062,27.8661956787
200,CVRP,25,ok,20.4309501648,19.9926433563
200,CVRP,26,ok,20.0616416931,20.0616416931
200,CVRP,27,ok,21.3740768433,21.3740768433
200,CVRP,28,ok,19.7008819580,19.4150695801
200,CVRP,29,ok,25.5636596680,25.5636596680
200,CVRP,30,ok,19.9596958160,19.4556427002
200,CVRP,31,ok,23.7158699036,23.5524082184
200,CVRP,32,ok,24.5539093018,24.2872619629
200,CVRP,33,ok,19.0503273010,18.7643718719
200,CVRP,34,ok,24.0521984100,24.0477161407
200,CVRP,35,ok,23.4132232666,23.2835388184
200,CVRP,36,ok,24.6393318176,24.5754089355
200,CVRP,37,ok,22.5911922455,22.0642089844
200,CVRP,38,ok,22.5856208801,22.4301567078
200,CVRP,39,ok,21.8482532501,21.6997032166
200,CVRP,40,ok,20.1733512878,19.9312534332
200,CVRP,41,ok,22.2744560242,21.7067985535
200,CVRP,42,ok,24.7096405029,24.4393997192
200,CVRP,43,ok,27.2837772369,27.0370826721
200,CVRP,44,ok,21.1609764099,20.9287643433
200,CVRP,45,ok,22.6830921173,22.6149044037
200,CVRP,46,ok,25.1875801086,25.1634273529
200,CVRP,47,ok,23.0158920288,22.7121505737
200,CVRP,48,ok,24.7718257904,24.6680202484
200,CVRP,49,ok,23.4808044434,23.4808044434
200,CVRP,50,ok,23.4753532410,23.2748451233
200,CVRP,51,ok,24.1193389893,23.5829353333
200,CVRP,52,ok,27.1009521484,26.8507690430
200,CVRP,53,ok,21.6839466095,21.1658210754
200,CVRP,54,ok,20.9345893860,20.7971992493
200,CVRP,55,ok,25.0611267090,24.9603462219
200,CVRP,56,ok,21.4769115448,21.2690925598
200,CVRP,57,ok,21.7509174347,21.5678157806
200,CVRP,58,ok,25.4142837524,25.0498180389
200,CVRP,59,ok,22.6758422852,22.2623672485
200,CVRP,60,ok,20.5415439606,20.3945369720
200,CVRP,61,ok,28.5065670013,27.9985847473
200,CVRP,62,ok,26.9682998657,26.9682998657
200,CVRP,63,ok,24.8455123901,24.6212005615
200,CVRP,64,ok,25.7118606567,25.7118606567
200,CVRP,65,ok,23.4144477844,22.9502754211
200,CVRP,66,ok,21.7684364319,21.7263259888
200,CVRP,67,ok,21.5487594604,21.1583442688
200,CVRP,68,ok,24.3698043823,24.2560157776
200,CVRP,69,ok,19.8500785828,19.6052246094
200,CVRP,70,ok,19.2785415649,19.1180000305
200,CVRP,71,ok,25.4214057922,25.4214057922
200,CVRP,72,ok,23.8732795715,23.8732795715
200,CVRP,73,ok,21.3632888794,21.3524513245
200,CVRP,74,ok,22.0072669983,21.8165416718
200,CVRP,75,ok,19.9415130615,19.8615875244
200,CVRP,76,ok,20.7189388275,20.5397529602
200,CVRP,77,ok,19.0229148865,19.0229148865
200,CVRP,78,ok,26.7604007721,26.5285606384
200,CVRP,79,ok,22.9465332031,22.6961460114
200,CVRP,80,ok,21.3276691437,21.0921592712
200,CVRP,81,ok,21.1533451080,20.8945312500
200,CVRP,82,ok,27.2953948975,27.2128448486
200,CVRP,83,ok,20.2460956573,20.1300354004
200,CVRP,84,ok,22.7236080170,22.4612636566
200,CVRP,85,ok,24.1741390228,24.1198539734
200,CVRP,86,ok,24.0673255920,23.9685935974
200,CVRP,87,ok,19.8648128510,19.5347023010
200,CVRP,88,ok,25.1233081818,25.1233081818
200,CVRP,89,ok,28.6472873688,28.4324398041
200,CVRP,90,ok,24.2768421173,23.9878158569
200,CVRP,91,ok,20.9177322388,20.7262630463
200,CVRP,92,ok,21.1119155884,20.9555263519
200,CVRP,93,ok,22.4052371979,22.3370075226
200,CVRP,94,ok,24.0113906860,23.9134101868
200,CVRP,95,ok,19.5122261047,19.1431121826
200,CVRP,96,ok,24.6128711700,24.3929481506
200,CVRP,97,ok,20.2861251831,19.9370384216
200,CVRP,98,ok,23.5685157776,23.5575180054
200,CVRP,99,ok,19.6840095520,19.4440631866
200,CVRP,100,ok,24.4321174622,24.1834411621
200,CVRP,101,ok,19.8741035461,19.7406673431
200,CVRP,102,ok,24.2046737671,23.9139976501
200,CVRP,103,ok,26.0801887512,25.6557903290
200,CVRP,104,ok,23.8183727264,23.4891319275
200,CVRP,105,ok,20.6916389465,20.3731365204
200,CVRP,106,ok,24.8770751953,24.5983734131
200,CVRP,107,ok,20.1789493561,20.0323448181
200,CVRP,108,ok,20.7921867371,20.7921867371
200,CVRP,109,ok,22.5854949951,22.5854949951
200,CVRP,110,ok,25.4619979858,25.0300025940
200,CVRP,111,ok,19.8380069733,19.6818866730
