problem_size,problem,instance,status,no_aug_cost,cost
50,CVRP,0,ok,10.4440345764,10.2396039963
50,CVRP,1,ok,12.5577526093,12.5577526093
50,CVRP,2,ok,13.1793479919,13.1524906158
50,CVRP,3,ok,9.9773292542,9.7551565170
50,CVRP,4,ok,10.3133487701,10.1007013321
50,CVRP,5,ok,9.4774913788,9.1459026337
50,CVRP,6,ok,8.9664096832,8.9664096832
50,CVRP,7,ok,7.7776598930,7.6342420578
50,CVRP,8,ok,11.3945350647,11.3945350647
50,CVRP,9,ok,11.2563877106,11.1570672989
50,CVRP,10,ok,10.9902982712,10.8403511047
50,CVRP,11,ok,11.2726297379,11.0292358398
50,CVRP,12,ok,11.6323652267,11.6260328293
50,CVRP,13,ok,10.4060287476,10.3110256195
50,CVRP,14,ok,9.5998497009,9.1749792099
50,CVRP,15,ok,10.4149551392,10.4149551392
50,CVRP,16,ok,8.7801322937,8.6560840607
50,CVRP,17,ok,11.0014810562,10.8320770264
50,CVRP,18,ok,10.1817493439,10.0974073410
50,CVRP,19,ok,10.4557971954,10.3485450745
50,CVRP,20,ok,9.9534568787,9.8775053024
50,CVRP,21,ok,9.6842689514,9.6423473358
50,CVRP,22,ok,12.8019609451,12.6661815643
50,CVRP,23,ok,9.4396133423,9.4396133423
50,CVRP,24,ok,10.8015003204,10.7242412567
50,CVRP,25,ok,10.9002361298,10.8317871094
50,CVRP,26,ok,8.8626575470,8.7834663391
50,CVRP,27,ok,11.3173179626,11.0860757828
50,CVRP,28,ok,9.6917238235,9.6909694672
50,CVRP,29,ok,8.8802099228,8.8802099228
50,CVRP,30,ok,9.0809574127,9.0809564590
50,CVRP,31,ok,12.0610666275,12.0198841095
50,CVRP,32,ok,10.5885047913,10.5633602142
50,CVRP,33,ok,10.4499683380,10.3572959900
50,CVRP,34,ok,10.2153673172,10.0509891510
50,CVRP,35,ok,10.0746908188,9.9482612610
50,CVRP,36,ok,9.1831789017,9.1685791016
50,CVRP,37,ok,9.9793615341,9.8479557037
50,CVRP,38,ok,11.5322761536,11.4423685074
50,CVRP,39,ok,11.1860675812,11.0400896072
50,CVRP,40,ok,10.7936420441,10.7878532410
50,CVRP,41,ok,10.7878627777,10.7878627777
50,CVRP,42,ok,10.6268110275,10.5352811813
50,CVRP,43,ok,11.5340690613,11.4051275253
50,CVRP,44,ok,10.5994577408,10.4372920990
50,CVRP,45,ok,11.1226234436,10.9376726151
50,CVRP,46,ok,10.3772726059,10.2002544403
50,CVRP,47,ok,10.0828161240,9.7022962570
50,CVRP,48,ok,11.3554582596,10.8538017273
50,CVRP,49,ok,10.1998510361,10.0718822479
50,CVRP,50,ok,8.5070610046,8.5070610046
50,CVRP,51,ok,10.0095138550,10.0095138550
50,CVRP,52,ok,11.2340774536,11.0265979767
50,CVRP,53,ok,9.7789278030,9.6997032166
50,CVRP,54,ok,12.1389369965,11.9269943237
50,CVRP,55,ok,11.5376567841,11.5376567841
50,CVRP,56,ok,11.2120428085,10.9587011337
50,CVRP,57,ok,11.1234502792,11.1142730713
50,CVRP,58,ok,9.2457866669,9.1727428436
50,CVRP,59,ok,11.3457546234,11.2740516663
50,CVRP,60,ok,8.7007474899,8.6795310974
50,CVRP,61,ok,11.9329204559,11.8281021118
50,CVRP,62,ok,10.3433818817,10.3433818817
50,CVRP,63,ok,9.3827390671,9.2264442444
50,CVRP,64,ok,11.0873851776,11.0707807541
50,CVRP,65,ok,9.6764793396,9.4943723679
50,CVRP,66,ok,10.8228206635,10.7054748535
50,CVRP,67,ok,11.3207473755,11.2358646393
50,CVRP,68,ok,10.7978038788,10.6897993088
50,CVRP,69,ok,10.6230602264,10.5774154663
50,CVRP,70,ok,9.7541179657,9.5698051453
50,CVRP,71,ok,11.0021667480,10.9010467529
50,CVRP,72,ok,9.5242252350,9.5242252350
50,CVRP,73,ok,13.5194978714,13.3955078125
50,CVRP,74,ok,9.1973514557,9.1794376373
50,CVRP,75,ok,9.5200672150,9.5200672150
50,CVRP,76,ok,10.1585197449,9.9684104919
50,CVRP,77,ok,9.8977470398,9.8819971085
50,CVRP,78,ok,9.5989093781,9.5967922211
50,CVRP,79,ok,11.2530937195,11.0661582947
50,CVRP,80,ok,11.1376571655,10.9996738434
50,CVRP,81,ok,9.1038980484,9.0784587860
50,CVRP,82,ok,11.2835063934,10.9917736053
50,CVRP,83,ok,11.4839725494,11.3384246826
50,CVRP,84,ok,12.1609725952,12.1609725952
50,CVRP,85,ok,12.0380401611,11.9092693329
50,CVRP,86,ok,10.8096790314,10.3914031982
50,CVRP,87,ok,10.4463701248,10.3447275162
50,CVRP,88,ok,13.2766361237,13.0987071991
50,CVRP,89,ok,12.1414918900,12.0576276779
50,CVRP,90,ok,9.3934717178,9.3918924332
50,CVRP,91,ok,10.6837081909,10.5641593933
50,CVRP,92,ok,8.9728202820,8.9728202820
50,CVRP,93,ok,10.9388103485,10.8044414520
50,CVRP,94,ok,10.5519618988,10.4632396698
50,CVRP,95,ok,10.8626651764,10.7224168777
50,CVRP,96,ok,11.5176753998,11.5176753998
50,CVRP,97,ok,11.8213357925,11.7671222687
50,CVRP,98,ok,9.9689903259,9.9689903259
50,CVRP,99,ok,12.3720703125,12.2778425217
50,CVRP,100,ok,9.3426895142,9.2504291534
50,CVRP,101,ok,10.7625141144,10.6765537262
50,CVRP,102,ok,12.6810131073,12.6391792297
50,CVRP,103,ok,8.7030048370,8.6047925949
50,CVRP,104,ok,9.7006416321,9.4182491302
50,CVRP,105,ok,9.1378135681,8.8991937637
50,CVRP,106,ok,11.1728038788,11.1264162064
50,CVRP,107,ok,10.8955049515,10.6962795258
50,CVRP,108,ok,7.9046087265,7.8996167183
50,CVRP,109,ok,12.0143442154,12.0074052811
50,CVRP,110,ok,11.6851367950,11.6304264069
50,CVRP,111,ok,10.5521755219,10.5521755219
50,CVRP,112,ok,9.8891687393,9.8131237030
50,CVRP,113,ok,12.4825496674,12.3050060272
50,CVRP,114,ok,12.0516777039,11.7463579178
50,CVRP,115,ok,9.3477668762,9.1598968506
50,CVRP,116,ok,10.2929048538,10.2538471222
50,CVRP,117,ok,12.5396337509,12.3680877686
50,CVRP,118,ok,10.4528217316,10.2227811813
50,CVRP,119,ok,10.2612705231,10.1966152191
50,CVRP,120,ok,8.3373661041,8.3373661041
50,CVRP,121,ok,10.3282489777,10.2838001251
50,CVRP,122,ok,10.7721385956,10.7576675415
50,CVRP,123,ok,10.4052505493,10.1814289093
50,CVRP,124,ok,12.1240329742,12.0393352509
50,CVRP,125,ok,10.6860208511,10.5396976471
50,CVRP,126,ok,9.6311750412,9.6220569611
50,CVRP,127,ok,9.9500064850,9.9318313599
50,CVRP,128,ok,11.6324644089,11.3280887604
50,CVRP,129,ok,10.1071910858,10.0357646942
50,CVRP,130,ok,10.7016391754,10.7016391754
50,CVRP,131,ok,12.5131902695,12.3192481995
50,CVRP,132,ok,9.6940565109,9.5067806244
50,CVRP,133,ok,11.5689411163,11.5689039230
50,CVRP,134,ok,9.6517734528,9.6292715073
50,CVRP,135,ok,10.0522012711,9.9830875397
50,CVRP,136,ok,10.2819824219,10.2464313507
50,CVRP,137,ok,10.8672103882,10.6255340576
50,CVRP,138,ok,9.3216857910,9.3181610107
50,CVRP,139,ok,9.2314157486,9.2166633606
50,CVRP,140,ok,10.0588111877,10.0475025177
50,CVRP,141,ok,12.5668582916,12.5405349731
50,CVRP,142,ok,12.2683696747,12.1114625931
50,CVRP,143,ok,9.3553695679,9.3553695679
50,CVRP,144,ok,10.8767127991,10.8289794922
50,CVRP,145,ok,10.6519460678,10.4602832794
50,CVRP,146,ok,11.3110227585,11.2134523392
50,CVRP,147,ok,8.5156469345,8.3869009018
50,CVRP,148,ok,11.6430845261,11.4314842224
50,CVRP,149,ok,13.5104618073,13.4152641296
50,CVRP,150,ok,11.8045368195,11.7909526825
50,CVRP,151,ok,11.4840259552,11.3166542053
50,CVRP,152,ok,11.4691066742,11.4691066742
50,CVRP,153,ok,10.5820770264,10.4699573517
50,CVRP,154,ok,11.1727676392,11.1727676392
50,CVRP,155,ok,9.8067874908,9.6975975037
50,CVRP,156,ok,11.5572052002,11.4775619507
50,CVRP,157,ok,10.5860748291,10.5274133682
50,CVRP,158,ok,10.7026557922,10.4349012375
50,CVRP,159,ok,13.5878391266,13.5878391266
50,CVRP,160,ok,10.1562023163,10.0106363297
50,CVRP,161,ok,8.6026668549,8.5912733078
50,CVRP,162,ok,10.6920833588,10.6193513870
50,CVRP,163,ok,10.1452999115,10.1452999115
50,CVRP,164,ok,9.9079036713,9.8609523773
50,CVRP,165,ok,8.8004732132,8.8004732132
50,CVRP,166,ok,9.5007104874,9.3589935303
50,CVRP,167,ok,9.4509429932,9.4112234116
50,CVRP,168,ok,10.5371561050,10.4344120026
50,CVRP,169,ok,11.9132499695,11.6175794601
50,CVRP,170,ok,10.1347608566,10.0149135590
50,CVRP,171,ok,9.3580350876,9.2127876282
50,CVRP,172,ok,11.1321878433,11.0539436340
50,CVRP,173,ok,11.9047470093,11.8802509308
50,CVRP,174,ok,11.8823471069,11.8823471069
50,CVRP,175,ok,9.5984869003,9.5235910416
50,CVRP,176,ok,10.9322719574,10.6230583191
50,CVRP,177,ok,10.3331756592,10.2486534119
50,CVRP,178,ok,10.1022109985,10.0083408356
50,CVRP,179,ok,11.3933515549,11.3718490601
50,CVRP,180,ok,8.6253814697,8.5862884521
50,CVRP,181,ok,9.3607006073,9.2781133652
50,CVRP,182,ok,10.9040451050,10.7961597443
50,CVRP,183,ok,10.9588165283,10.9177665710
50,CVRP,184,ok,13.5557403564,13.3743553162
50,CVRP,185,ok,9.6265020370,9.4997482300
50,CVRP,186,ok,11.9515905380,11.7691173553
50,CVRP,187,ok,9.1950836182,9.0813808441
50,CVRP,188,ok,13.2851161957,13.1449356079
50,CVRP,189,ok,10.4219446182,10.1799230576
50,CVRP,190,ok,9.3116006851,9.2199048996
50,CVRP,191,ok,10.9341678619,10.7705116272
50,CVRP,192,ok,8.7306070328,8.7215719223
50,CVRP,193,ok,9.6032438278,9.5860519409
50,CVRP,194,ok,10.6822919846,10.6234302521
50,CVRP,195,ok,9.6337699890,9.4795656204
50,CVRP,196,ok,11.0217018127,10.9592475891
50,CVRP,197,ok,9.1761131287,9.0576648712
50,CVRP,198,ok,12.2921428680,12.0663700104
50,CVRP,199,ok,11.2190828323,11.0585098267
50,CVRP,200,ok,9.6826419830,9.5513229370
50,CVRP,201,ok,8.6530723572,8.5329627991
50,CVRP,202,ok,10.0667982101,9.7924375534
50,CVRP,203,ok,9.6427497864,9.6427497864
50,CVRP,204,ok,10.0868377686,10.0053539276
50,CVRP,205,ok,8.9014511108,8.7801465988
50,CVRP,206,ok,11.5276126862,11.4011173248
50,CVRP,207,ok,9.3599824905,9.3599824905
50,CVRP,208,ok,10.3344821930,10.1968040466
50,CVRP,209,ok,9.6338768005,9.6225833893
50,CVRP,210,ok,8.5436248779,8.5436248779
50,CVRP,211,ok,9.3361129761,9.2975521088
50,CVRP,212,ok,10.4192905426,10.3020267487
50,CVRP,213,ok,9.4734296799,9.4734296799
50,CVRP,214,ok,10.0937223434,10.0937223434
50,CVRP,215,ok,9.4411029816,9.3283424377
50,CVRP,216,ok,9.4799547195,9.3760242462
50,CVRP,217,ok,8.2249908447,8.2249908447
50,CVRP,218,ok,12.8023014069,12.6697864532
50,CVRP,219,ok,8.0679035187,8.0242033005
50,CVRP,220,ok,9.6228456497,9.6228456497
50,CVRP,221,ok,10.3904294968,10.3904294968
50,CVRP,222,ok,11.6795806885,11.2730894089
50,CVRP,223,ok,13.6256732941,13.6148929596
50,CVRP,224,ok,11.8860168457,11.7659006119
50,CVRP,225,ok,9.3190393448,9.1765394211
50,CVRP,226,ok,9.0063123703,8.9743261337
50,CVRP,227,ok,13.1698188782,12.9646434784
50,CVRP,228,ok,10.4897394180,10.4897394180
50,CVRP,229,ok,12.0638666153,11.8498086929
50,CVRP,230,ok,9.9629611969,9.7510547638
50,CVRP,231,ok,10.8512907028,10.7800540924
50,CVRP,232,ok,10.8228988647,10.7382183075
50,CVRP,233,ok,11.4837341309,11.4408159256
50,CVRP,234,ok,8.4360589981,8.2795162201
50,CVRP,235,ok,9.8679361343,9.7521152496
50,CVRP,236,ok,9.7621479034,9.7012720108
50,CVRP,237,ok,12.2318973541,12.1713867188
50,CVRP,238,ok,10.5591773987,10.4234466553
50,CVRP,239,ok,10.8432693481,10.7438411713
50,CVRP,240,ok,8.4415159225,8.1090030670
50,CVRP,241,ok,10.2352027893,10.1636524200
50,CVRP,242,ok,11.6973190308,11.6942195892
50,CVRP,243,ok,11.2500820160,11.1502437592
50,CVRP,244,ok,9.5572910309,9.4165191650
50,CVRP,245,ok,10.5262756348,10.2719650269
50,CVRP,246,ok,9.8555831909,9.8378734589
50,CVRP,247,ok,9.3491878510,9.2933549881
50,CVRP,248,ok,10.7702074051,10.6127700806
50,CVRP,249,ok,10.9244270325,10.8838033676
50,CVRP,250,ok,9.1000995636,9.0651407242
50,CVRP,251,ok,10.2472991943,10.1923208237
50,CVRP,252,ok,9.4387655258,9.3456649780
50,CVRP,253,ok,10.7931947708,10.6085662842
50,CVRP,254,ok,9.9055385590,9.8241434097
50,CVRP,255,ok,11.0990371704,10.8077812195
50,CVRP,256,ok,10.2544250488,10.1856327057
50,CVRP,257,ok,9.5126714706,9.4275474548
50,CVRP,258,ok,9.1295881271,9.1295881271
50,CVRP,259,ok,10.9705257416,10.9705257416
50,CVRP,260,ok,8.3291006088,8.1547861099
50,CVRP,261,ok,8.8102560043,8.4284086227
50,CVRP,262,ok,8.8194980621,8.8119182587
50,CVRP,263,ok,9.5521020889,9.3876724243
50,CVRP,264,ok,10.5676774979,10.4133195877
50,CVRP,265,ok,8.3071289062,8.3008871078
50,CVRP,266,ok,13.4970569611,13.3131389618
50,CVRP,267,ok,11.4530467987,11.4099483490
50,CVRP,268,ok,9.5591163635,9.5591163635
50,CVRP,269,ok,10.2054681778,10.1028232574
50,CVRP,270,ok,10.2640657425,10.2133312225
50,CVRP,271,ok,10.3619861603,10.1727037430
50,CVRP,272,ok,12.5428075790,12.4427509308
50,CVRP,273,ok,9.3636608124,9.3636608124
50,CVRP,274,ok,9.1352815628,9.0673093796
50,CVRP,275,ok,9.8888301849,9.7113304138
50,CVRP,276,ok,11.5368299484,11.3842535019
50,CVRP,277,ok,8.6806621552,8.6801033020
50,CVRP,278,ok,11.0245895386,11.0139636993
50,CVRP,279,ok,7.7634487152,7.6507372856
50,CVRP,280,ok,8.7738943100,8.6099138260
50,CVRP,281,ok,10.1044139862,9.9909172058
50,CVRP,282,ok,10.8763875961,10.7047138214
50,CVRP,283,ok,9.8803424835,9.8745336533
50,CVRP,284,ok,12.4873800278,12.4646368027
50,CVRP,285,ok,10.2216119766,10.2181167603
50,CVRP,286,ok,12.7204389572,12.6457176208
50,CVRP,287,ok,12.6173381805,12.6173381805
50,CVRP,288,ok,8.9470500946,8.8307800293
50,CVRP,289,ok,10.1538867950,9.8567256927
50,CVRP,290,ok,10.7389068604,10.5825929642
50,CVRP,291,ok,13.2500257492,13.1378555298
50,CVRP,292,ok,10.8327360153,10.6578769684
50,CVRP,293,ok,8.7494907379,8.7088489532
50,CVRP,294,ok,10.1015386581,10.1015386581
50,CVRP,295,ok,10.9994077682,10.9994077682
50,CVRP,296,ok,9.4657640457,9.3105926514
50,CVRP,297,ok,9.0186519623,8.8799514771
50,CVRP,298,ok,10.1432037354,10.0754604340
50,CVRP,299,ok,9.2587194443,9.1411666870
50,CVRP,300,ok,11.5479679108,11.3546199799
50,CVRP,301,ok,9.2753858566,9.1574602127
50,CVRP,302,ok,9.9189758301,9.7611503601
50,CVRP,303,ok,10.1073226929,10.1073226929
50,CVRP,304,ok,10.3111400604,10.1392745972
50,CVRP,305,ok,9.1561374664,9.0780525208
50,CVRP,306,ok,12.1946697235,12.0868406296
50,CVRP,307,ok,9.4768810272,9.4768810272
50,CVRP,308,ok,9.9912834167,9.8042659760
50,CVRP,309,ok,11.0216999054,10.8255777359
50,CVRP,310,ok,11.7005252838,11.4875583649
50,CVRP,311,ok,10.4429264069,10.3346843719
50,CVRP,312,ok,12.0233631134,11.8124065399
50,CVRP,313,ok,8.4187183380,8.4187183380
50,CVRP,314,ok,13.1894550323,13.0577945709
50,CVRP,315,ok,12.6457157135,12.6457157135
50,CVRP,316,ok,10.2727775574,10.2258520126
50,CVRP,317,ok,11.1207075119,11.0299701691
50,CVRP,318,ok,10.3343582153,10.2480134964
50,CVRP,319,ok,9.4964771271,9.4594459534
50,CVRP,320,ok,9.7773952484,9.7177162170
50,CVRP,321,ok,10.3273534775,10.3077735901
50,CVRP,322,ok,10.8233728409,10.5862178802
50,CVRP,323,ok,11.5351505280,11.4085025787
50,CVRP,324,ok,12.4180774689,12.3872032166
50,CVRP,325,ok,9.1289262772,9.1247472763
50,CVRP,326,ok,10.4786777496,10.3459453583
50,CVRP,327,ok,11.3254394531,11.1028537750
50,CVRP,328,ok,11.6181249619,11.5577487946
50,CVRP,329,ok,12.1930160522,12.1127328873
50,CVRP,330,ok,11.8384838104,11.7942762375
50,CVRP,331,ok,12.5230512619,12.4578685760
50,CVRP,332,ok,11.9285106659,11.9207105637
50,CVRP,333,ok,8.4782924652,8.3974704742
50,CVRP,334,ok,9.9141159058,9.9141159058
50,CVRP,335,ok,9.1023159027,9.0593929291
